     16.1732      3.96102      2.68175
     16.1626      3.96638      2.66684
     16.1399      3.98736      2.64107
     16.0854      3.97258      2.62068
     16.0596      3.98893      2.57954
     16.0458      3.99677      2.55788
     16.0149        4.018      2.51253
     16.0012      4.02811      2.48245
     16.0127      4.05607      2.44359
     16.0004      4.06619      2.40445
     15.9854      4.07994      2.37314
     15.9604      4.10504      2.32502
     15.9337       4.1343      2.27806
     15.8487        4.196      2.24141
     15.8372      4.21194       2.2086
     15.8179      4.24266      2.15622
     15.7959       4.2806      2.10358
     15.7846      4.29445      2.06826
     15.7728      4.31335      2.03427
     15.7791       4.3354      2.01555
     15.7634      4.37132      1.94586
     15.7521      4.40583      1.89244
     15.7451       4.4255      1.85978
     15.7897      4.43819      1.80835
     15.7795      4.47302      1.75703
     15.7781      4.49051      1.72211
     15.7744       4.5252       1.6738
     15.7725      4.54075      1.65458
     15.7717      4.56002      1.63559
     15.8113      4.67979      1.61048
     15.8144      4.71589      1.57771
     15.8125      4.73014      1.58036
     15.8167      4.74845      1.58606
     15.8156      4.76566      1.58898
      15.758      4.81892      1.58955
     15.7585      4.85241      1.59256
     15.7574      4.87081      1.58752
     15.7572      4.88761      1.59489
      15.757      4.92038      1.56168
     15.8454      4.96812      1.54081
     15.8464      4.98556      1.53867
     15.8488       5.0018      1.52258
     15.8469      5.05079      1.55171
     15.8985      5.03876      1.57873
     15.8979      5.05605      1.59741
     15.8957      5.08808      1.62614
     15.8923      5.10647      1.64889
     15.8905      5.13745      1.67457
     15.9441       5.1525      1.68929
     15.9429      5.16696       1.6995
     15.9379       5.1847      1.71388
     15.9335       5.2197      1.73781
     15.9269      5.25532      1.75791
     15.9338      5.29368      1.76767
     15.9345      5.31279      1.77553
     15.9282      5.32892      1.78498
     15.9169      5.36205      1.78792
      15.916      5.39397      1.79226
     15.9101      5.40864      1.79151
     15.8933      5.46474      1.79097
     15.8821      5.51426      1.78583
     15.8782      5.52818      1.77972
      15.869      5.56146      1.77113
     15.7777      5.55849       1.7608
     15.7739      5.57632      1.75337
     15.7704      5.60946      1.73101
     15.7659       5.6447      1.69223
     15.7668      5.66079      1.66584
     15.7634      5.67935      1.64323
     15.8089      5.73164      1.63009
      15.802      5.76482      1.60281
     15.8009      5.79619      1.59608
     15.8012      5.81349      1.59299
     15.7276      5.85611      1.59585
     15.7262      5.88915      1.60611
      15.724      5.90291      1.59022
     15.7276      5.93706      1.56149
     15.7285      5.95138       1.5572
     15.7269      5.96886      1.54889
     15.7918      5.99538      1.53989
     15.7908      6.02913      1.52468
     15.7913      6.04346      1.52828
     15.7916      6.06137      1.53822
     15.7919      6.07758      1.55077
